country,phenomena_count,max_observed_mag,doublet_count,years_span,annual_rate,prob_1y,prob_5y,prob_10y,b_value,mag_p10_exceedance
Alaska,644,7.9,87,159.0,4.050314465408805,0.982583103233324,0.9999999983972939,1.0,1.1326192131722237,6.882909267625095
Desconocido,2377,9.1,159,159.0,14.949685534591195,0.9999996783125885,1.0,1.0,1.1192083744857766,6.893488668237898
Papua New Guinea,886,7.96,93,159.0,5.572327044025157,0.9961983764139989,0.999999999999206,1.0,1.0672067995320396,6.937025514116375
Russia,670,9.0,117,159.0,4.213836477987422,0.9852104803082178,0.9999999992924284,1.0,1.075711287227668,6.929617465088805
Indonesia,1178,8.6,97,159.0,7.408805031446541,0.9993941057132667,0.9999999999999999,1.0,1.0624686418786817,6.9412042488442545
Japan,961,9.1,156,159.0,6.044025157232705,0.9976280079684503,0.999999999999925,1.0,1.0384393370136624,6.962983550753956
Philippines,554,7.9,61,159.0,3.4842767295597485,0.9693240625937075,0.999999972836282,0.9999999999999992,0.9875057871173987,7.012652293328905
Vanuatu,478,7.9,74,159.0,3.006289308176101,0.9505250752357141,0.9999997035675713,0.9999999999999122,0.9851265831542823,7.015097975326272
Tonga,451,7.8,22,159.0,2.8364779874213837,0.9413681953065486,0.9999993071067826,0.9999999999995199,1.4474446942915271,6.69087268338737
Chile,441,9.5,62,159.0,2.7735849056603774,0.9375622304621636,0.9999990510640459,0.9999999999990995,0.922275286655983,7.084274960490196
Mexico,360,7.99,26,159.0,2.2641509433962264,0.8960817704467255,0.9999878812257507,0.9999999998531353,0.8975326524434385,7.1141655930596
Solomon Islands,319,7.9,63,159.0,2.006289308176101,0.8655132110488633,0.9999560055267935,0.9999999980644864,0.9454887124163681,7.057654086048599
China,264,7.95,15,159.0,1.6603773584905661,0.8099327569208699,0.9997519516304857,0.9999999384720064,0.913991577930411,7.0941019853425145
New Zealand,233,8.1,37,159.0,1.4654088050314464,0.7690164550618167,0.9993424856868878,0.999999567674928,0.9462596438682542,7.056792399929535
Peru,208,8.4,10,159.0,1.3081761006289307,0.7296873699182931,0.9985567828178639,0.9999979171241652,0.7871202085776803,7.270453977807268
Taiwan,188,7.7,33,159.0,1.1823899371069182,0.6934547613998499,0.9972930958726209,0.9999926726700452,0.965390067397088,7.035850723735152
Japan region,150,7.9,7,159.0,0.9433962264150944,0.610696574942752,0.9910578670395651,0.9999200382581179,1.0643481951405858,6.939542157881814
Greece,122,7.7,9,159.0,0.7672955974842768,0.5357330632637679,0.9784305644544999,0.9995347594502485,1.2603583768127187,6.793425122883595
Argentina,110,7.69,6,159.0,0.6918238993710691,0.4993379214441249,0.9685425517902388,0.9990104289521302,1.0116096365617895,6.9885236002681355
